Dec 23, 2018 8:24:16 PM
Results for 10 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,Person.Thanh_Linh*,9836 (66%),2950,540,5288,937,96,24,9,1,0
2nd,Person.Stalker*,4703 (31%),2200,60,2145,98,200,0,1,6,3
3rd,ITC_Bot_Team.DoraemonTeam 1.0,467 (3%),350,0,0,0,116,0,0,3,7
$
