Nov 11, 2018 7:23:53 PM
Results for 10 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,Person.TrungXi*,6735 (35%),3150,350,2884,312,38,0,5,3,2
2nd,Person.Thuynhungsocolacold*,6313 (33%),3100,350,2584,255,24,0,5,2,3
3rd,Person.Phungdethuong*,5870 (30%),2550,0,2107,101,662,449,0,4,4
4th,ITC_Bot_Team.DoraemonTeam 1.0,376 (2%),200,0,0,0,176,0,0,1,1
$
